consolidated_latitude,consolidated_longitude,cluster
42.985832,2.758656,4
42.96596,2.71061,4
42.964295,2.86177,4
43.5468,5.5217,1
43.5468,5.5217,1
43.450912,5.448581,1
43.66436,5.15951,1
43.66525,5.15538,1
43.538529,5.302399,1
43.535968,5.294772,1
43.4965,5.394521,1
43.63285,5.64362,1
43.637728,5.634412,1
43.214902,5.631325,1
43.2102,5.626148,1
43.222061,5.62971,1
43.593205,5.127993,1
43.597145,5.134431,1
43.597145,5.134431,1
43.59043,5.12314,1
43.601448,5.131093,1
43.334663,5.10792,1
43.332222,5.109296,1
43.330266,5.105859,1
46.24693,-1.48649,2
45.13631,1.58389,4
45.13491,1.58486,4
45.13683,1.58579,4
44.91864,4.91498,1
44.91864,4.91498,1
45.04525,5.08962,1
45.04525,5.08962,1
45.025383,5.040506,1
44.999095,4.984006,1
44.999095,4.984006,1
44.987025,4.977925,1
44.555277,4.810127,1
44.554623,4.809319,1
44.552195,4.806363,1
44.117091,3.724674,1
43.813426,4.12159,1
43.739046,4.182994,1
43.733597,4.184094,1
43.675241,4.235318,1
43.674281,4.237694,1
43.481774,1.664598,4
44.86645,-0.597037,4
44.86645,-0.597037,4
44.87054,-0.603241,4
44.87054,-0.603241,4
44.865019,-0.613566,4
44.611483,-1.202429,4
44.52691,-0.65751,4
44.492535,-0.637439,4
44.49314,-0.64074,4
44.52628,-0.65599,4
44.52356,-1.17421,4
44.632524,-1.14448,4
44.63415,-1.13297,4
44.63164,-1.15058,4
44.63164,-1.15058,4
44.63053,-1.15014,4
44.63053,-1.15014,4
44.63177,-1.14521,4
44.63177,-1.14521,4
44.63355,-1.14678,4
44.63355,-1.14678,4
44.63213,-1.15005,4
44.63753,-1.14307,4
44.54116,-1.15022,4
44.884544,-0.648422,4
44.881349,-0.632875,4
44.87214,-0.6553,4
44.87214,-0.6553,4
44.881423,-0.653546,4
44.884329,-0.653858,4
44.69312,-0.84911,4
44.69811,-0.84629,4
44.70031,-0.84954,4
44.70028,-0.8449,4
44.697791,-0.845017,4
44.69232,-0.8528,4
43.356231,2.742882,4
43.275588,3.275049,1
43.275588,3.275049,1
43.279568,3.276351,1
43.279568,3.276351,1
43.280061,3.278945,1
43.280061,3.278945,1
43.265993,3.28459,1
43.268622,3.339334,1
43.268622,3.339334,1
43.276263,3.272705,1
48.348536,-1.181023,2
47.862233,-1.683721,2
50.996455,2.042502,0
50.976895,2.039943,0
50.97699,2.046598,0
50.988828,2.08619,0
51.001765,2.06374,0
45.667565,3.111121,1
45.668718,3.109671,1
43.27855,0.119531,4
43.27855,0.119531,4
43.275697,0.109249,4
48.963836,2.873031,0
48.956098,2.879597,0
48.956098,2.879597,0
48.952485,2.88671,0
48.952485,2.88671,0
